id,question1,question2,is_duplicate
134476,Would the founder/CEO of a new/small realestate firm that did 25 broker deals this year totaling $55 million be making over 300k? What is his salary?,Would the founder/CEO of 5 employee commercial RE firm be doing pretty well if they brokered 25 deals their 1st year totaling $50 million in sales?,1
214376,"What is correct, thanks to all or thanks all or thank you everyone?",What is the difference between thanks and thank you or thanks all and thank you all?,0
156534,What are the reasons of why my washing machine won't spin water out?,What is the best way to fix a washing machine that won't spin?,1
150718,How can you make interesting candy bouquet arrangements for fun and profit?,How can you make interesting candy bouquet arrangements for profit?,1
310390,Why are May and Manaphy childish in Pokémon Ranger and the Temple of the Sea?,Why is Manaphy boring in Pokémon Ranger and the Temple of the Sea?,0
345249,What are the branch options for 7k rank holders in manipal institute of technology entrance exam?,I have got 19867 rank in manipal institute of technology exam. Can I get admission there?,0
221291,"A is three times more efficient than B. If they complete a work in 30 days, then find the times required by each to complete the work individually?","F-1 visa: Can a PhD student finish PhD course requirement and get the pre-completion opt to work full time, and then finish the remaining master course requirement and leave with a master degree?",0
255087,What is Hillary Clinton's policy for providing solution to the Ukrainian-Russian conflict?,What is Hillary Clinton's policy to provide a solution to the Israeli-Palestinian conflict?,0
101002,What are some things new employees should know going into their first day at Azarga Uranium?,What are some things new employees should know going into their first day at Uranium Energy?,0
130592,What is the differences between Mainland China and Chinese Taipei?,What is cultural difference between mainland China and Thailand?,0
19531,"Class demo {demo() {cout<<'hello""}} d1,d2; int main() {cout<<""main function"";} justify the output?","GRE: 303 (Q153 V149) , 7.2cgpa, 1 project at ISRO, 2 at college, working on research paper. What are my possibilities for masters In Electronics US?",0
117596,What does it mean when I feel heart beat like sensations near my Mooladhara chakra?,"When I'm about to force a lucid dream, my heart beats fast due to my sensation and the dreamy state fades away. How can I improve?",0
7657,"Where is the Baraka River located, and how does it compare to the Colorado River?","Where is the Baraka River located, and how does it compare to the Where is the Baraka River located, and how does it compare to the Volga River?",0
52296,Can I change my program in Canada without applying a new permit from bachelor to diploma?,I am a non-EU student in Germany and just got a baby from a non-EU German widow. Can I change my residence to a work permit?,0
64313,What are good gifts for a foreign visitor to bring when they're invited to someone's home in São Tomé and Príncipe for the first time?,What are good gifts for a foreign visitor to bring when they're invited to someone's home in the Netherlands for the first time?,0
200212,"Which is a better option in career growth : SalesForce or ServiceNow, considering all the aspects which includes scope, job opportunities in India?",Is there any scope after doing MBA in India? Is doing MBA and getting a job better than bank manager as a career option?,0
254162,I've been sexually abused as a child does that cause intimacy issues?,Have you ever thought about being a black-hat hacker as a career?,0
254455,"I am travelling to India vs London from New york and back. I have an indian passport and valid H1b visa (valid till Jan 15th, 2016) during the course of my travel. Do I need any other document to travel?",I currently have an H1B visa stamp on my Indian passport and I live in UK. I got British citizenship. Is my H1B validity impacted my new citizenship?,0
284019,Somebody sent me a direct message on Instagram and people are commenting on it but I can't see any of them. I know they are there and I'm really mad about it so where are they?,Get my child's direct messages on Instagram sent to my phone so I can see them too?,0
356293,"Why do all the time travelers want to go back in time to kill Hitler, but they never go back in time to kill Stalin or Mao?","Instead of travelling back in time and killing Hitler, would it be better to send a great artist to the past to improve his artistic skills?",0
144560,"Does you campaign have a definitive policy or belief in how we should manage our federal budget deficit, specifically as a % of GDP?","As a startup, how do you position your product if a competitor has added a significantly innovative feature that requires a lot of capital to develop? Should we lower costs and add more features which fit in our budget?",0
368648,What will be future prospects of Agriculture Engineering's student from IIT Kharagpur?,How is it to opt for Agriculture and Food engineering in IIT Kharagpur? What is the scope for non core jobs?,1
305413,Is Ubuntu Studio good for pro Audio? Does it have all the features of regular Ubuntu?,Is Ubuntu Studio viable for pro audio? Does it have all the features of regular Ubuntu?,1
315736,Is it possible to live an ecocentric life where we learn to respect the non-human entities as much as fellow humans?,"How much giving is ""enough""? How do you decide when you have met your obligation to your fellow humans?",0
389489,What is the corporate culture like at Strategic Energy? How is the culture different than other companies?,What is the corporate culture like at SM Energy? How is the culture different than other companies?,0
339753,Who won the 2016 September 26th presidential debate between Trump and Hillary?,Who won the debate between Hillary Clinton and Donald Trump on 9/26/2016?,1
66121,Why are some questions on Quora flagged as needing improvement when they don’t need improvement?,Why does Quora mark most of the questions as needing improvement?,1
20692,What will be Hillary Clinton's policy for INDIA if she becomes the president?,What will be Hillary Clinton's policy towards India if she gets elected as the president of the United States of America?,1
332470,"Which countries, if any, have a successful policy for solving stagnating middle class incomes?",How much caffeine is in espresso coffee that is extracted from a single basket four times?,0
344190,What are the side effects of drinking lemon water every morning? Does it make your bones brittle?,What are the possible side effects of drinking water first thing in morning?,0
219250,What universities does Trinity Industries recruit new grads from? What majors are they looking for?,What universities does Chart Industries recruit new grads from? What majors are they looking for?,0
164666,What happened to the Association Dianae Lacus and his project to rebuild the prima nave?,"Is it important to approach a professor for one of his own projects? If not, how can I approach him about a project of my own?",0
346635,How much of unit consume if I use 7.5 HP submersible motor used daily 2 hour with 3 phase line?,What electricity bill if I use 7.5 HP submersible motor used daily 2 hour for agriculture land with 3 phase line?,1
336432,If all objects which has mass exert gravitational force on another object then why we don't see objects on earth moving towards each other?,How is the mass of an object affected by a gravitational field?,0
164747,"What is the best way to prepare for GATE in CSE, when you are doing your b.tech?",Will we get control of intractable brain diseases like schizophrenia or autism?,0
89974,How much did Peter Jackson earn for each of the 3 Lord of the Rings films?,How much do the ultra-realistic latex corpses used in film and TV cost?,0
41342,What is a good inpatient drug and alcohol rehab center near Newton County GA?,Which is a good inpatient drug and alcohol rehab center near Wheeler County GA?,0
94293,Why is a bitlink I created that leads to a 404 page getting hundreds of clicks?,"Why am I not being able to view the ""write"" page? It says error 404. I understand, it gets rectified eventually. But what is error 404?",0
257392,Is the sequence defined by [math]s_n= \left( \frac{-1}{5} \right)^n[/math] a cauchy sequence?,"A sequence is defined recursively using the formula f (n + 1) = –0.5 f(n) . If the first term of the sequence is 120, what is f(5)?",0
277474,"Who are some lesser known important historical figures of Denmark, and what should people know about them?",Who are some lesser known important historical figures of India and what should people know about them?,0
176489,"How can I go to the NFL without playing college football, like Stephen Neal?","I'm just 16, 6'3, 160lbs and throw 40 yards without going to the gym. I'd like to play American football. Is there hope for me?",0
258994,Do you think teenagers (under 18) should be allowed to vote in the United States? Why or why not?,How do I explain how the phone works to my mother in layman's terms?,0
388960,"If I live in a computer simulation, how can I prove that to another user/person?",How do we know that we're not living in a computer simulation?,0
15915,What would happen if a nuclear bomb of about 1000 megatons detonated in the middle of a huge city?,When and in what city will the first nuclear bombs fall on American soil? Why?,0
211414,How Indian mechanical engineer can apply for Japanese company?,I'm a mechanical engineer. How do I apply for a job in PSUs like Indian Oil and ONGC?,0
35702,"Indian consumer spending pattern (industry level specifics)? References also appreciated if, they come along with the amount spent.","If someone's always trying to show off the amount of information they know to prove something, should I go along with it or deny them?",0
5981,Does Heisenberg's uncertainty principle actually defeat the concept of a deterministic future?,What are the applications of Heisenberg's Uncertainty Principle?,0
200164,Has a male patient ever had an erection with a female doctor during an exam?,Should a woman ever cross the patient/doctor boundary and make friends (just friends) with their female GP?,0
291905,Is there any way to compute estimating likelihoods for topic models using MALLET in Java?,Are there some new topics or ideas for website designing using Java?,0
88434,What is it about Game of thrones that has made it so popular amongst the populace?,Why is Game of Thrones exceptionally popular in the TV series?,1
258997,Why did Luna showed no expression when she heard Hermione torturing scream?,"Why is it that when you express alternative ideas that might lead to a better existence for all, many immediately scream ""utopia"" without even considering the merits?",0
179766,What would be a practical application of machine learning and machining or manufacturing?,What are practical applications of machine learning and machining or manufacturing?,1
246350,"Would China attack Japan if the US removed its carrier groups, naval fleets, military bases and troops stationed there?",Who finally conquered the Abbasid Dynasty in 1258? What was the main impact of this conquest?,0
8263,"When I post a question on Quora, am I expected to play a more active curation role for that question?",Are Quora question authors expected to curate their questions?,0
168941,Which are the top cross platform mobile development tools for enterprise mobility?,What are the best tools for cross-platform mobile application development?,0
326525,What one should do when your partner (male) is not ready to understand anything except sex ?,Why is it so hard to make people understand something they are not ready to understand?,0
292376,I physically hit my girlfriend when I get insanely mad. What should I do?,"A guy used to hit on my girlfriend before we were in a relationship, he still hits on her after we are committed, should I ask her to get rid of him?",0
89723,What is unusual or different about the food and cuisine in Bulgaria?,What is unusual or different about the food and cuisine in Russia?,0
260419,What is your opinion about Narendra modis banning on 500 and 1000?,What do you think about RBI's new move of banning 500 and 1000 notes?,1
359355,Why do so many people ask questions on Quora that can be found in a Google search?,Why do people on Quora ask silly questions about the facts which can be googled very easily?,1
301737,"Could some one give me comparison between teradata, sap bo , informatica as a suite versus teradata, microstrategy, informatica? . i would need strenght versus weakness in either cases?",What are the advantages of using Informatica as an ETL tool over Teradata?,0
229481,Do you need an abundance of academic knowledge or world experience in order to come up with many things to say?,"Is this the worst case of 80s song lyrics?Love Will Find A Way, by Yes ""Here is my heart I give it to you.Here is my soul, I eat at chez nous""?",0
92172,What is the average duration needed to pursue a PhD in a science field?,What advice do you have for undergrad hoping to pursue a PhD in Computer Science?,0
163273,What are the most significant achievement of Mr. Ajay Chandrakar as a Chhattisgarh State Panchayat and Rural Development Minister?,What is the greatest accomplishment of Mr. Ajay Chandrakar as a Chhattisgarh Panchayat and Rural Development Minister?,1
128317,Web development is growing and evolving quickly. Should I consider to deepen my knowledge?,Will I be considered lazy by employers if I just study to pass my computing degree in college and put most my time in learning web development home?,0
47806,What do you think about the Japanese proverb 'The nail that sticks out shall be hammered down'?,What do you think about the Japanese arcade game called Mushiking: The King of Beetles?,0
279061,What are the differences between Chinese and American culture?,What are the cultural differennce between Chinese and American?,1
130321,"Does Mega encrypt your files before uploading them to the server, or only once they reach the server?","Does XXL Box encrypt your files before uploading them to the server, or only once they reach the server?",0
272847,"In a job interview, how do I explain leaving my last position because of a toxic work environment?","My co-worker, a narcissist, is created a toxic work environment. Before I leave the company, how do I determine my legal options?",0
242992,Which MBTI personality type does people with alexithymia usually have?,What is something you always have with you which people usually don't have?,0
21784,Do CS SRM Ramapuram students get good placements offer like KTR?,What are the placements and packages offered at the Ramapuram campus of SRM like? Are they as good as that of the main campus?,1
59016,How spend 2years more to complete 7 years living for british born child? Child is 5years old now?,I Have been hired from an IT company after doing Bca but lack technical knowledge. What should I do?,0
279341,Why wouldn't a person charged after falsifying her bank statements in order to get a credit line approved?,What should someone do when their bank accounts have been frozen due to attempted fraud?,0
1366,I am a Portuguese national and I want to move to Norway. Is it possible?,"I am 22 (working),I want to be cricketer because I enjoy cricket. Is it still possible for me to join cricket academy and get into national squad?",0
158610,"What are all the games I can play with Intel HD 5500, 16GB of RAM and an Intel i5 processor?","What are all the games I can play with Intel HD 5500, 8GB of RAM and an Intel i5 processor?",1
274178,I haven't poop for like 5 or 6 days. Should I get this checked out?,I get a lot of bird poop on me. Its almost like once in 3 days. What's wrong? How do I get rid of it?,0
107232,What are the differences and similarities between DNA and RNA?,What would happen if I ate a tablespoon of DNA? Would it taste different than RNA? What would it taste like? Would it be dangerous?,0
307068,Who are some lesser known important historical figures of Mauritius and what should people know about them?,Who are some lesser known important historical figures of India and what should people know about them?,0
139527,"How do you say happy birthday in Korean, both formally and informally?","How do you say some basic Korean phrases like ""good morning""?",0
327242,Why has the Philippine President Rodrigo Duterte refused to participate in ASEAN-India meeting in Laos?,Why does the Philippine President Rodrigo Duterte refuse to meet up with the U.S. President at ASEAN-U.S. meeting in Laos?,0
302635,What was the strangest thing you found cleaning out your parents’ house after they died?,What was the strangest experience/occurring right after someone died?,0
137673,How do you invite people you are not friends with on Facebook to like your Facebook page?,How do I cancel an invite to like a page on Facebook that I already sent?,0
157422,"People are going viral with the cracker-free Diwali campaign, but why hasn't there been much hype about stopping animal sacrifices for Bakrid/any other Hindu festival?",What are your reactions about the huge animal sacrifice in Nepal? Is it right? And what about Bakri Id and other such festivals?,0
53959,What would have happened if MacArthur had been allowed to use nukes against the Chinese during the Korean War?,What would have happened if General Douglas MacArthur was allowed to pursue China past the Korean border?,0
394121,Would a fire in a room burn slower if the air conditioner was on and why?,Will a fire in a room burn slower if the air conditioner was on?,1
10801,What will happen to a person who eats almost no vegetables and only one small meal a day?,What is the best brand and model of tractor for a small farmer who will have only one tractor?,0
24514,Should I do a master at TU Munich if I want to focus on Machine Learning?,"I feel so nostalgic when I see someone bid farewell to their girl (Daughter, sister, friend, relative) after her wedding?",0
144587,What should I do about my mother-in-law's medical issues interfering in my marriage?,My mother in law's medical issues are destroying my marriage?,1
134901,I feel like crying. I am not proud of the stuff I do to make me happy. I think about killing myself and I believe I have no real friends. How can I overcome this? Why am I depressed?,I am depressed. I don't have soulmate. I don't have friends. I don't have job satisfaction. I feel like dying. Can anyone save me?,0
355389,What were some of the worst atrocities committed during the Crimean War?,What atrocities were committed by Mongol Invaders during their campaign?,0
54116,Are there problems or interesting effects caused by China using one standard time across the area of 5 time zones?,What are some difficulties China puts up with for using only one time zone?,1
395703,What if a British monarch married a Danish monarch or any other European monarch vice versa?,"For property under construction, what is the rate of service tax that should be paid? Rate at the time of booking? Or that at the time of demand?",0
28386,"What is the first thing that comes to your mind, when you hear the word ""Argo""?","What is the first thing that comes to your mind when you hear the word ""Delhi""?",0
230454,What programming languages should be learned to become best programmer?,What is the best computer programming language to learn first?,1
24427,Why do people book expensive hotels when hostels are available?,"If Airbnb is just as expensive as a hotel, why do people live there?",0
304830,What is the difference between product manager and product designer?,Scrum (product development): What is the difference between a Product Owner and a Product Manager?,0
256437,What are some weekend gateways from Bangalore and pune at about equal distance?,What hill station/picnic spot is of equal distance from Bangalore and Pune?,1
330055,How can the BJP justify wasting 3600 crore of the taxpayer’s money on a statue of Shivaji?,What do you think of the decision by the Indian Government to demonetize 500 and 1000 rupee notes?,0
259061,"What do you think of the documentary ""The Coming War on China"" by John Pilger? Will America and China have a war in the near future?",What do you think about John Pilger's new film The Coming War On China?,1
356102,Where can I get necessary advice for any property transaction in Sydney?,Where can I get knowledgeable assistance for transfer of property in Sydney?,1
